"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","Pressure","SkinFriction:0","SkinFriction:1","SkinFriction:2"
-9.30581e-01,3.65073e-01,-2.56239e-02,-3.06279e-02,3.88431e-02,5.57639e-02,-8.01750e+03,-1.50477e+02,-3.18045e+02,1.82352e+02
-9.92879e-01,4.33729e-02,1.10779e-01,-3.06869e-02,3.83145e-02,5.61303e-02,-1.24898e+04,-9.06154e+00,-1.87361e+02,1.08562e+02
-8.22444e-01,5.56880e-01,-1.15571e-01,-3.04049e-02,3.91310e-02,5.55619e-02,4.56543e+03,-2.96097e+02,-1.93875e+02,1.58505e+02
-9.78232e-01,-1.14919e-01,1.72726e-01,-3.05682e-02,3.76187e-02,5.66028e-02,-1.07404e+04,1.79572e+01,-7.43054e+01,5.66960e+01
-9.61484e-01,-1.88616e-01,1.99884e-01,-3.03777e-02,3.69751e-02,5.70296e-02,-9.23219e+03,2.08620e+01,-5.67625e+01,4.73008e+01
-9.47918e-01,-2.34401e-01,2.15617e-01,-3.01591e-02,3.63738e-02,5.74197e-02,-8.69000e+03,2.18876e+01,-4.96140e+01,4.26416e+01
-9.34493e-01,-2.73439e-01,2.27899e-01,-2.98175e-02,3.55552e-02,5.79371e-02,-8.16868e+03,2.23520e+01,-4.39306e+01,3.91220e+01
-2.16991e-01,9.18300e-01,-3.29955e-01,-3.00149e-02,3.92044e-02,5.55112e-02,1.11653e+04,-8.38048e+01,-4.18839e+01,7.51396e+01
4.56629e-01,8.13982e-01,-3.57363e-01,-2.94124e-02,3.90155e-02,5.56475e-02,8.67554e+03,1.36756e+02,-5.64382e+01,4.29143e+01
5.96041e-01,7.31231e-01,-3.30396e-01,-2.86933e-02,3.86106e-02,5.59353e-02,6.09124e+03,1.02425e+02,-6.54853e+01,3.93452e+01
6.50297e-01,6.92472e-01,-3.11433e-01,-2.80725e-02,3.81864e-02,5.62325e-02,4.59249e+03,8.03248e+01,-6.01037e+01,3.38403e+01
6.80045e-01,6.70119e-01,-2.96771e-01,-2.75158e-02,3.77668e-02,5.65224e-02,3.81283e+03,6.54336e+01,-5.34813e+01,2.92630e+01
7.02720e-01,6.52923e-01,-2.82248e-01,-2.68244e-02,3.72071e-02,5.69022e-02,3.14611e+03,5.65881e+01,-4.95390e+01,2.63788e+01
-5.61316e-01,-7.47056e-01,-3.54922e-01,2.95621e-02,-3.90257e-02,5.56388e-02,6.06718e+02,2.59009e+01,-2.64191e+01,9.64715e+00
-4.26879e-01,-8.23062e-01,-3.73070e-01,3.00714e-02,-3.92233e-02,5.54970e-02,6.56929e+02,-5.40840e+00,-1.60034e+01,1.36806e+01
2.97903e-01,-9.00344e-01,-3.16567e-01,3.03924e-02,-3.91365e-02,5.55576e-02,1.00526e+03,-9.97200e+00,2.32496e-01,1.91569e+01
-6.80493e-01,-6.60646e-01,-3.16357e-01,2.81933e-02,-3.79661e-02,5.63796e-02,7.83878e+02,2.24666e+01,-2.76784e+01,9.23242e+00
-6.81043e-01,-6.56062e-01,-3.24415e-01,2.88785e-02,-3.84967e-02,5.60117e-02,8.64088e+02,2.70661e+01,-3.23618e+01,8.19532e+00
-6.80511e-01,-6.64511e-01,-3.08243e-01,2.75455e-02,-3.74609e-02,5.67240e-02,7.33587e+02,2.13861e+01,-2.63437e+01,9.34868e+00
-6.80462e-01,-6.68869e-01,-2.98962e-01,2.67791e-02,-3.68595e-02,5.71262e-02,6.20860e+02,2.04043e+01,-2.50980e+01,9.50266e+00
9.60766e-01,1.90174e-01,2.01760e-01,3.05467e-02,-3.88898e-02,5.57310e-02,6.62030e+02,8.79508e+00,-4.84495e+00,8.76851e+00
9.15493e-01,3.17607e-01,2.46974e-01,3.03935e-02,-3.84447e-02,5.60406e-02,6.25757e+02,1.49496e+01,-3.18181e+01,-8.99782e+00
8.51458e-01,4.42612e-01,2.81204e-01,2.89529e-02,-3.65036e-02,5.73381e-02,8.18333e+02,1.67996e+01,-2.78974e+01,-7.06050e+00
8.51579e-01,4.44313e-01,2.78152e-01,2.83857e-02,-3.57288e-02,5.78311e-02,7.43974e+02,1.62113e+01,-2.70703e+01,-6.47743e+00
8.51516e-01,4.40876e-01,2.83733e-01,2.94161e-02,-3.71319e-02,5.69278e-02,8.25380e+02,1.76408e+01,-2.91468e+01,-7.76154e+00
8.51680e-01,4.39153e-01,2.85924e-01,2.99074e-02,-3.77940e-02,5.64854e-02,8.56572e+02,2.06523e+01,-3.35400e+01,-1.01283e+01
7.38693e-01,6.26596e-01,-2.48190e-01,-2.48778e-02,3.54587e-02,5.80118e-02,2.09470e+03,4.08898e+01,-3.99461e+01,2.09293e+01
7.24967e-01,6.36459e-01,-2.63168e-01,-2.57881e-02,3.63029e-02,5.74971e-02,2.47331e+03,4.72525e+01,-4.42273e+01,2.30947e+01
7.22115e-01,6.38471e-01,-2.66222e-01,-2.59726e-02,3.64713e-02,5.73894e-02,2.54816e+03,4.85353e+01,-4.50832e+01,2.35312e+01
7.63320e-01,6.11448e-01,-2.07917e-01,-2.19580e-02,3.25202e-02,5.96887e-02,1.47021e+03,3.26777e+01,-3.47092e+01,1.81857e+01
7.52633e-01,6.17453e-01,-2.28235e-01,-2.34791e-02,3.40886e-02,5.88153e-02,1.75312e+03,3.56819e+01,-3.64552e+01,1.92679e+01
7.70997e-01,6.08094e-01,-1.88480e-01,-2.04538e-02,3.09022e-02,6.05376e-02,1.25590e+03,3.04008e+01,-3.33328e+01,1.71673e+01
7.76669e-01,6.06333e-01,-1.69948e-01,-1.89857e-02,2.92676e-02,6.13421e-02,1.09948e+03,2.87652e+01,-3.23903e+01,1.63062e+01
7.84594e-01,6.05209e-01,-1.33697e-01,-1.60542e-02,2.58648e-02,6.28509e-02,8.72204e+02,2.74200e+01,-3.23776e+01,1.49176e+01
7.81043e-01,6.05512e-01,-1.51871e-01,-1.75306e-02,2.75999e-02,6.21090e-02,9.76518e+02,2.78697e+01,-3.21597e+01,1.55885e+01
7.87627e-01,6.05130e-01,-1.14929e-01,-1.45202e-02,2.40203e-02,6.35787e-02,7.80243e+02,2.73071e+01,-3.29695e+01,1.42197e+01
7.90223e-01,6.05172e-01,-9.52325e-02,-1.28987e-02,2.20293e-02,6.42960e-02,6.95052e+02,2.73345e+01,-3.37002e+01,1.34614e+01
7.92568e-01,6.05038e-01,-7.43619e-02,-1.11744e-02,1.98705e-02,6.49962e-02,6.10362e+02,2.73583e+01,-3.44082e+01,1.26219e+01
7.94754e-01,6.04500e-01,-5.21891e-02,-9.33261e-03,1.75213e-02,6.56694e-02,5.23860e+02,2.73082e+01,-3.50092e+01,1.16694e+01
7.98863e-01,6.01341e-01,-4.04207e-03,-5.23923e-03,1.21661e-02,6.68713e-02,3.38711e+02,2.69339e+01,-3.58150e+01,9.39360e+00
7.96793e-01,6.03398e-01,-2.86974e-02,-7.35689e-03,1.49577e-02,6.63014e-02,4.34395e+02,2.71427e+01,-3.54447e+01,1.05812e+01
8.03411e-01,5.93434e-01,4.70686e-02,-6.65223e-04,6.00387e-03,6.77060e-02,1.31217e+02,2.63355e+01,-3.62756e+01,6.78341e+00
8.01027e-01,5.98104e-01,2.13762e-02,-3.00308e-03,9.17400e-03,6.73484e-02,2.37298e+02,2.66405e+01,-3.60574e+01,8.09839e+00
8.09579e-01,5.78937e-01,9.64243e-02,4.13827e-03,-6.28640e-04,6.79710e-02,-7.97623e+01,2.55172e+01,-3.64349e+01,4.07918e+00
8.06249e-01,5.87020e-01,7.23628e-02,1.73942e-03,2.70299e-03,6.79191e-02,2.40228e+01,2.59763e+01,-3.64234e+01,5.43331e+00
8.13297e-01,5.69544e-01,1.18603e-01,6.46560e-03,-3.89718e-03,6.78629e-02,-1.72832e+02,2.50005e+01,-3.63473e+01,2.77458e+00
8.17261e-01,5.59265e-01,1.38624e-01,8.68601e-03,-7.04712e-03,6.76090e-02,-2.47432e+02,2.45082e+01,-3.62632e+01,1.53468e+00
8.25857e-01,5.36783e-01,1.72480e-01,1.27639e-02,-1.29081e-02,6.67389e-02,-3.34145e+02,2.33850e+01,-3.58407e+01,-6.34874e-01
8.21484e-01,5.48254e-01,1.56525e-01,1.07869e-02,-1.00536e-02,6.72281e-02,-3.02983e+02,2.39934e+01,-3.61296e+01,3.91008e-01
8.30220e-01,5.25209e-01,1.86604e-01,1.46104e-02,-1.55940e-02,6.61627e-02,-3.38192e+02,2.27105e+01,-3.54275e+01,-1.51491e+00
8.34394e-01,5.13925e-01,1.99002e-01,1.63028e-02,-1.80731e-02,6.55287e-02,-3.17602e+02,2.20407e+01,-3.49668e+01,-2.28372e+00
8.38242e-01,5.03222e-01,2.09893e-01,1.78388e-02,-2.03346e-02,6.48626e-02,-2.74111e+02,2.13555e+01,-3.44104e+01,-2.94638e+00
8.41747e-01,4.93147e-01,2.19569e-01,1.92410e-02,-2.24073e-02,6.41763e-02,-2.09900e+02,2.06545e+01,-3.37555e+01,-3.51462e+00
8.44851e-01,4.83756e-01,2.28369e-01,2.05413e-02,-2.43339e-02,6.34715e-02,-1.25774e+02,1.99379e+01,-3.29913e+01,-4.01038e+00
8.47591e-01,4.74923e-01,2.36618e-01,2.17800e-02,-2.61699e-02,6.27381e-02,-2.33574e+01,1.92499e+01,-3.21962e+01,-4.45838e+00
8.51784e-01,4.58937e-01,2.52603e-01,2.42380e-02,-2.98008e-02,6.11044e-02,2.27826e+02,1.81384e+01,-3.07471e+01,-5.39608e+00
8.49931e-01,4.66622e-01,2.44619e-01,2.29994e-02,-2.79749e-02,6.19569e-02,9.49380e+01,1.86406e+01,-3.14386e+01,-4.90783e+00
8.52906e-01,4.52373e-01,2.60566e-01,2.55087e-02,-3.16603e-02,6.01706e-02,3.75901e+02,1.75951e+01,-2.98728e+01,-5.80261e+00
8.52935e-01,4.49121e-01,2.66042e-01,2.64056e-02,-3.29580e-02,5.94729e-02,5.00064e+02,1.72703e+01,-2.91325e+01,-6.23676e+00
8.52928e-01,4.47986e-01,2.67985e-01,2.67254e-02,-3.34147e-02,5.92200e-02,5.43322e+02,1.71548e+01,-2.88726e+01,-6.39146e+00
8.52157e-01,4.45836e-01,2.73927e-01,2.76767e-02,-3.47501e-02,5.84337e-02,6.64757e+02,1.67058e+01,-2.78980e+01,-6.64055e+00
-6.81619e-01,-6.79132e-01,-2.72194e-01,2.46645e-02,-3.51682e-02,5.81908e-02,2.51693e+02,2.18700e+01,-2.57291e+01,9.21530e+00
-6.81156e-01,-6.75544e-01,-2.82148e-01,2.54500e-02,-3.58054e-02,5.78075e-02,3.92205e+02,2.11187e+01,-2.52654e+01,9.34124e+00
-6.80717e-01,-6.73798e-01,-2.87328e-01,2.58518e-02,-3.61256e-02,5.76052e-02,4.63002e+02,2.07256e+01,-2.50285e+01,9.41436e+00
-6.87915e-01,-6.87581e-01,-2.31714e-01,2.14293e-02,-3.24843e-02,5.97096e-02,-2.91531e+02,2.37127e+01,-2.68212e+01,8.86883e+00
-6.84007e-01,-6.83983e-01,-2.53150e-01,2.31315e-02,-3.39101e-02,5.89205e-02,-1.17876e+01,2.29023e+01,-2.63337e+01,8.99711e+00
-6.92902e-01,-6.89554e-01,-2.09847e-01,1.97258e-02,-3.10209e-02,6.04775e-02,-5.64634e+02,2.44805e+01,-2.73858e+01,8.78988e+00
-6.98823e-01,-6.89761e-01,-1.88386e-01,1.80546e-02,-2.95452e-02,6.12089e-02,-8.30248e+02,2.51884e+01,-2.80241e+01,8.77086e+00
-7.12620e-01,-6.85830e-01,-1.46431e-01,1.47183e-02,-2.64621e-02,6.26012e-02,-1.33113e+03,2.66290e+01,-2.96782e+01,8.93805e+00
-7.05451e-01,-6.88443e-01,-1.67341e-01,1.63969e-02,-2.80370e-02,6.19127e-02,-1.08441e+03,2.59198e+01,-2.88068e+01,8.81189e+00
-7.29129e-01,-6.76236e-01,-1.03736e-01,1.11728e-02,-2.29632e-02,6.39672e-02,-1.79876e+03,2.78718e+01,-3.15929e+01,9.45662e+00
